scenario,m2,m1,image type,image dimensions,outcome
next_sless,2609.9915000013425,523.9678819999099,jpeg,640x960,success
123next_sless,2609.9915000013425,523.9678819999099,jpeg,640x960,success
next_sless,1609.0820000026724,314.43722000007983,jpeg,640x960,success
23next_sless,2609.9915000013425,523.9678819999099,jpeg,640x960,success
next_sless,1609.0820000026724,314.43722000007983,jpeg,640x960,success
next_sless,1518.8018000008014,188.63639700005297,jpeg,640x960,success
3next_sless,2609.9915000013425,523.9678819999099,jpeg,640x960,success
next_sless,1609.0820000026724,314.43722000007983,jpeg,640x960,success
next_sless,1518.8018000008014,188.63639700005297,jpeg,640x960,success
next_sless,1724.0729000004649,204.46523800003342,jpeg,640x960,success
next_sless,1089.560699998401,140.72566399991047,jpeg,640x960,success
123next_sless,1089.560699998401,140.72566399991047,jpeg,640x960,success
next_sless,1394.8354000021936,193.65305099997204,jpeg,640x960,success
23next_sless,1089.560699998401,140.72566399991047,jpeg,640x960,success
next_sless,1394.8354000021936,193.65305099997204,jpeg,640x960,success
next_sless,1538.664299998345,140.02724500000477,jpeg,640x960,success
3next_sless,1089.560699998401,140.72566399991047,jpeg,640x960,success
next_sless,1394.8354000021936,193.65305099997204,jpeg,640x960,success
next_sless,1538.664299998345,140.02724500000477,jpeg,640x960,success
next_sless,1417.393899999297,188.36462600005325,jpeg,640x960,success
next_sless,1395.9132999989379,151.50112399994396,jpeg,640x960,success
123next_sless,1395.9132999989379,151.50112399994396,jpeg,640x960,success
next_sless,1312.535900000512,182.56404600001406,jpeg,640x960,success
23next_sless,1395.9132999989379,151.50112399994396,jpeg,640x960,success
next_sless,1312.535900000512,182.56404600001406,jpeg,640x960,success
next_sless,1314.6507999990718,261.3842279999517,jpeg,640x960,success
3next_sless,1395.9132999989379,151.50112399994396,jpeg,640x960,success
next_sless,1312.535900000512,182.56404600001406,jpeg,640x960,success
next_sless,1314.6507999990718,261.3842279999517,jpeg,640x960,success
next_sless,1464.0078000011272,155.7546619999921,jpeg,640x960,success
next_sless,1100.5790999988676,139.13890600006562,jpeg,640x960,success
123next_sless,1100.5790999988676,139.13890600006562,jpeg,640x960,success
next_sless,1153.4024000029603,172.3100600000471,jpeg,640x960,success
23next_sless,1100.5790999988676,139.13890600006562,jpeg,640x960,success
next_sless,1153.4024000029603,172.3100600000471,jpeg,640x960,success
next_sless,1518.259799999214,166.99787600000855,jpeg,640x960,success
3next_sless,1100.5790999988676,139.13890600006562,jpeg,640x960,success
next_sless,1153.4024000029603,172.3100600000471,jpeg,640x960,success
next_sless,1518.259799999214,166.99787600000855,jpeg,640x960,success
next_sless,1519.545899998775,220.6972779999487,jpeg,640x960,success
next_sless,1396.9977000015206,143.576405000058,jpeg,640x960,success
123next_sless,1396.9977000015206,143.576405000058,jpeg,640x960,success
next_sless,1209.702299998753,136.46168100007344,jpeg,640x960,success
23next_sless,1396.9977000015206,143.576405000058,jpeg,640x960,success
next_sless,1209.702299998753,136.46168100007344,jpeg,640x960,success
next_sless,1805.7938999991165,138.1482300000498,jpeg,640x960,success
3next_sless,1396.9977000015206,143.576405000058,jpeg,640x960,success
next_sless,1209.702299998753,136.46168100007344,jpeg,640x960,success
next_sless,1805.7938999991165,138.1482300000498,jpeg,640x960,success
next_sless,1130.2185999993526,141.69661400001496,jpeg,640x960,success
next_sless,1191.6958000001614,236.78794599999674,jpeg,640x960,success
123next_sless,1191.6958000001614,236.78794599999674,jpeg,640x960,success
next_sless,1407.379199998104,139.65958300000057,jpeg,640x960,success
23next_sless,1191.6958000001614,236.78794599999674,jpeg,640x960,success
next_sless,1407.379199998104,139.65958300000057,jpeg,640x960,success
next_sless,1117.5264999983483,135.23208600003272,jpeg,640x960,success
3next_sless,1191.6958000001614,236.78794599999674,jpeg,640x960,success
next_sless,1407.379199998104,139.65958300000057,jpeg,640x960,success
next_sless,1117.5264999983483,135.23208600003272,jpeg,640x960,success
next_sless,1110.577999999805,138.48575100000016,jpeg,640x960,success
next_sless,1089.4464000011794,135.92664499999955,jpeg,640x960,success
123next_sless,1089.4464000011794,135.92664499999955,jpeg,640x960,success
next_sless,1415.3422999988834,213.0833500000881,jpeg,640x960,success
23next_sless,1089.4464000011794,135.92664499999955,jpeg,640x960,success
next_sless,1415.3422999988834,213.0833500000881,jpeg,640x960,success
next_sless,1073.1144999990647,140.66435300000012,jpeg,640x960,success
3next_sless,1089.4464000011794,135.92664499999955,jpeg,640x960,success
next_sless,1415.3422999988834,213.0833500000881,jpeg,640x960,success
next_sless,1073.1144999990647,140.66435300000012,jpeg,640x960,success
next_sless,1095.0073999993037,135.8078070000047,jpeg,640x960,success
next_sless,1863.9982999993663,142.62866799999028,jpeg,640x960,success
123next_sless,1863.9982999993663,142.62866799999028,jpeg,640x960,success
next_sless,1205.7482999989588,240.8617399999639,jpeg,640x960,success
23next_sless,1863.9982999993663,142.62866799999028,jpeg,640x960,success
next_sless,1205.7482999989588,240.8617399999639,jpeg,640x960,success
next_sless,1764.331200000015,301.7896409999812,jpeg,640x960,success
3next_sless,1863.9982999993663,142.62866799999028,jpeg,640x960,success
next_sless,1205.7482999989588,240.8617399999639,jpeg,640x960,success
next_sless,1764.331200000015,301.7896409999812,jpeg,640x960,success
next_sless,1069.254900001397,149.03564300003927,jpeg,640x960,success
next_sless,1382.56790000014,140.7683539999416,jpeg,640x960,success
123next_sless,1382.56790000014,140.7683539999416,jpeg,640x960,success
next_sless,2352.0661999973527,135.1908729999559,jpeg,640x960,success
23next_sless,1382.56790000014,140.7683539999416,jpeg,640x960,success
next_sless,2352.0661999973527,135.1908729999559,jpeg,640x960,success
next_sless,1109.81620000166,146.58510499994736,jpeg,640x960,success
3next_sless,1382.56790000014,140.7683539999416,jpeg,640x960,success
next_sless,2352.0661999973527,135.1908729999559,jpeg,640x960,success
next_sless,1109.81620000166,146.58510499994736,jpeg,640x960,success
next_sless,1211.8582999974024,183.17468799999915,jpeg,640x960,success
next_sless,1193.0523999981233,136.26868700003251,jpeg,640x960,success
123next_sless,1193.0523999981233,136.26868700003251,jpeg,640x960,success
next_sless,1108.0258000001777,135.72222399991006,jpeg,640x960,success
23next_sless,1193.0523999981233,136.26868700003251,jpeg,640x960,success
next_sless,1108.0258000001777,135.72222399991006,jpeg,640x960,success
next_sless,1050.787299998774,136.01578399993014,jpeg,640x960,success
3next_sless,1193.0523999981233,136.26868700003251,jpeg,640x960,success
next_sless,1108.0258000001777,135.72222399991006,jpeg,640x960,success
next_sless,1050.787299998774,136.01578399993014,jpeg,640x960,success
next_sless,1168.3167000010144,144.8811299999943,jpeg,640x960,success
next_sless,1218.9151000020502,227.51562700001523,jpeg,640x960,success
123next_sless,1218.9151000020502,227.51562700001523,jpeg,640x960,success
next_sless,1306.925400000182,137.8065760000609,jpeg,640x960,success
23next_sless,1218.9151000020502,227.51562700001523,jpeg,640x960,success
next_sless,1306.925400000182,137.8065760000609,jpeg,640x960,success
next_sless,1122.4696999997832,135.0361200000625,jpeg,640x960,success
3next_sless,1218.9151000020502,227.51562700001523,jpeg,640x960,success
next_sless,1306.925400000182,137.8065760000609,jpeg,640x960,success
next_sless,1122.4696999997832,135.0361200000625,jpeg,640x960,success
next_sless,1894.9908000031428,134.98551999998745,jpeg,640x960,success
next_sless,3956.0187999995833,2017.4763590000803,jpeg,1920x2879,success
123next_sless,3956.0187999995833,2017.4763590000803,jpeg,1920x2879,success
next_sless,3672.9763000003004,1707.823975999956,jpeg,1920x2879,success
23next_sless,3956.0187999995833,2017.4763590000803,jpeg,1920x2879,success
next_sless,3672.9763000003004,1707.823975999956,jpeg,1920x2879,success
next_sless,3717.974099999992,1800.473248000024,jpeg,1920x2879,success
3next_sless,3956.0187999995833,2017.4763590000803,jpeg,1920x2879,success
next_sless,3672.9763000003004,1707.823975999956,jpeg,1920x2879,success
next_sless,3717.974099999992,1800.473248000024,jpeg,1920x2879,success
next_sless,4035.579499999585,1795.2781239999458,jpeg,1920x2879,success
next_sless,5379.171299999143,1838.3877260000445,jpeg,1920x2879,success
123next_sless,5379.171299999143,1838.3877260000445,jpeg,1920x2879,success
next_sless,3770.621100000426,1847.6354369999608,jpeg,1920x2879,success
23next_sless,5379.171299999143,1838.3877260000445,jpeg,1920x2879,success
next_sless,3770.621100000426,1847.6354369999608,jpeg,1920x2879,success
next_sless,3734.9904000002425,1859.0572949999478,jpeg,1920x2879,success
3next_sless,5379.171299999143,1838.3877260000445,jpeg,1920x2879,success
next_sless,3770.621100000426,1847.6354369999608,jpeg,1920x2879,success
next_sless,3734.9904000002425,1859.0572949999478,jpeg,1920x2879,success
next_sless,3807.538699998986,1740.6619879999198,jpeg,1920x2879,success
next_sless,3798.406599998998,1820.0561720000114,jpeg,1920x2879,success
123next_sless,3798.406599998998,1820.0561720000114,jpeg,1920x2879,success
next_sless,3686.7955999987316,1722.0392680000514,jpeg,1920x2879,success
23next_sless,3798.406599998998,1820.0561720000114,jpeg,1920x2879,success
next_sless,3686.7955999987316,1722.0392680000514,jpeg,1920x2879,success
next_sless,3809.1248999990057,1859.6258020000532,jpeg,1920x2879,success
3next_sless,3798.406599998998,1820.0561720000114,jpeg,1920x2879,success
next_sless,3686.7955999987316,1722.0392680000514,jpeg,1920x2879,success
next_sless,3809.1248999990057,1859.6258020000532,jpeg,1920x2879,success
next_sless,3669.5698000003176,1678.6045290000038,jpeg,1920x2879,success
next_sless,3752.196900000854,1859.831329000066,jpeg,1920x2879,success
123next_sless,3752.196900000854,1859.831329000066,jpeg,1920x2879,success
next_sless,3770.694099999673,1836.2651459999615,jpeg,1920x2879,success
23next_sless,3752.196900000854,1859.831329000066,jpeg,1920x2879,success
next_sless,3770.694099999673,1836.2651459999615,jpeg,1920x2879,success
next_sless,3771.523300001718,1816.8883109999588,jpeg,1920x2879,success
3next_sless,3752.196900000854,1859.831329000066,jpeg,1920x2879,success
next_sless,3770.694099999673,1836.2651459999615,jpeg,1920x2879,success
next_sless,3771.523300001718,1816.8883109999588,jpeg,1920x2879,success
next_sless,3771.5014000023075,1779.0229899999686,jpeg,1920x2879,success
